name,rate,price,original price,discount
Casio A1481 Enticer Men's Analog Watch  - For Men,4,"₹2,397","₹4,795",50% off
Casio A1532 Enticer Men's Analog Watch  - For Men,4.3,"₹2,397","₹4,795",50% off
Casio A1489 Enticer Men's Analog Watch  - For Men,4.3,"₹1,396","₹1,995",30% off
Titan 1773SL02 Karishma Analog Watch  - For Men,4.3,"₹1,596","₹1,995",20% off
Casio A1487 Enticer Men's Analog Watch  - For Men,4.3,"₹1,676","₹2,395",30% off
Fastrack 3166KM01 All Nighters Analog Watch  - For Men,4.2,"₹2,520","₹3,150",20% off
Skmei Analog Digital Skmei Analogue Digital Black Dial Black Stra...,4.2,₹579,"₹2,687",78% off
Gopal Retail Paidu 58897 Black Dial Stainless Still Belt Analouge...,3.9,₹213,₹999,78% off
Rizzly Professional Rich Look Analog Watch  - For Men,3.7,₹379,"₹2,499",84% off
Lois Caron LCS-8075 BLUE DIAL DAY & DATE FUNCTIONING Analog Watch...,4.1,₹312,"₹2,599",87% off
Lois Caron LCS-8049 BLACK DIAL DAY & DATE FUNCTIONING Analog Watc...,4,₹331,"₹2,599",87% off
Espoir BHS0507 Stylish high Quality Analog Watch  - For Men,3.6,₹399,"₹2,495",84% off
POLO HUNTER 1134- Brown Day and Date Strap Analog Watch  - For Me...,4.1,₹312,"₹2,599",87% off
Fastrack 38024PP25 Minimalists Analog Watch  - For Men & Women,4.3,₹850,NaN,NaN
Espoir CheckBlueRay0507 DAY AND DATE FUNCTIONING Analog Watch  - ...,4,₹328,"₹1,995",83% off
ADIXION M Mahadev Watch with Black Leather Strap (Lord Siva) Anal...,3.9,₹125,₹499,74% off
Awex SKMEI Sports Multifunctional Dual Time Digital Blue Dial Men...,4.1,₹430,"₹1,999",78% off
LOREM LK-1-2-5-7-8 Multicolor Designer pack of 5 Analog Watch  - ...,3.8,₹425,"₹2,299",81% off
Casado 209BLUBLU JUST SMILE:) Analog Watch  - For Men,3.8,₹200,₹799,74% off
Billion Chivalry BMW001 Analog Watch  - For Men,4.1,₹149,"₹1,699",91% off
Fogg 1164-BR Brown Day and Date Unique New Analog Watch  - For Me...,4,₹312,"₹1,699",81% off
Fogg 2038-WH Day and Date Analog Watch  - For Men,4,₹329,"₹1,799",81% off
Buccachi B-GR5046-BWH-CH White & Blue Dial Day & Date Functioning...,4,₹312,"₹1,899",83% off
Fogg 2058-BL Printed Blue Day and Date Analog Watch  - For Men,4.1,₹329,"₹2,599",87% off
UNU Combo Of Two Stylish Leather Strap New Fashion 2019 Mens Anal...,3.7,₹199,NaN,NaN
LimeStone LS2804 All Black Mesh Strap Day and Date Functioning Qu...,4,₹331,"₹1,999",83% off
LOREM LK-05 Black-Round Professional Plain Leather Analog Watch  ...,3.8,₹159,₹999,84% off
Skmei AD1166 Analog-Digital Watch  - For Men,4.1,₹423,"₹1,499",71% off
Sonata 77085PP01 Volt Analog Watch  - For Men,4.3,₹649,NaN,NaN
Eddy hager 800 Digital Army Green Sports Digital Watch  - For Men,4.2,₹499,"₹2,599",80% off
Cavalli R7251900113 Analog Watch  - For Men,NaN,₹564,"₹1,499",62% off
COSMIC DFGHK52 Analog Watch  - For Men,NaN,₹351,₹549,36% off
DK KM-500 Skeleton Analog Watch  - For Men,NaN,₹349,₹599,41% off
Cavalli R7251900111 Analog Watch  - For Men,NaN,₹523,"₹1,499",65% off
